Episode 119, Reward: 722.45, Avg Reward: 330.21
Episode 120, Reward: 776.08, Avg Reward: 337.53
Episode 121, Reward: 768.00, Avg Reward: 345.29
Traceback (most recent call last):
  File "/Users/matt/Developer/embedded/inverted_pendulum/python/src/train.py", line 220, in <module>
  File "/Users/matt/Developer/embedded/inverted_pendulum/python/src/train.py", line 202, in main
  File "/Users/matt/Developer/embedded/inverted_pendulum/python/src/gui.py", line 430, in run
    # Cleanup
  File "/Users/matt/Developer/embedded/inverted_pendulum/python/.venv/lib/python3.13/site-packages/dearpygui/dearpygui.py", line 9264, in render_dearpygui_frame
    return internal_dpg.render_dearpygui_frame(**kwargs)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
KeyboardInterrupt
